,Player,Age,Pos,G,GS,Ctch%,Yds,Y/R,TD,1D,Lng,R/G,Y/G,Fmb,Player-additional,points
432,John Ross,25,wr,3,1,28.60%,17,8.5,0,1,15,0.7,5.7,0.0,RossJo00,3.7
433,Isaiah Zuber,23,wr,4,0,100.00%,29,14.5,0,1,16,0.5,7.3,0.0,ZubeIs00,4.9
434,Josh Allen*,24,QB,16,16,100.00%,12,12.0,1,1,12,0.1,0.8,9.0,AlleJo02,-9.8
435,Marcus Baugh,26,te,8,1,100.00%,2,2.0,0,0,2,0.1,0.3,0.0,BaugMa02,1.2
436,LeVante Bellamy,24,rb,5,0,100.00%,5,5.0,0,0,5,0.2,1.0,0.0,BellLe02,1.5
437,Nick Bellore*,31,lb,16,0,100.00%,9,9.0,0,1,9,0.1,0.6,0.0,BellNi01,1.9
438,Hunter Bryant,22,te,5,0,33.30%,44,44.0,0,1,44,0.2,8.8,0.0,BryaHu02,5.4
439,Stephen Carlson,24,te,16,2,50.00%,11,11.0,0,1,11,0.1,0.7,0.0,CarlSt00,2.1
440,Derek Carrier,30,te,16,0,100.00%,14,14.0,0,1,14,0.1,0.9,0.0,CarrDe00,2.4
441,DeAndre Carter,27,0,13,0,50.00%,8,8.0,0,0,8,0.1,0.6,2.0,CartDe02,-2.2
442,Alex Collins,26,rb,3,1,50.00%,4,4.0,0,0,4,0.3,1.3,0.0,CollAl00,1.4
443,Jason Croom,26,te,4,0,100.00%,3,3.0,1,1,3,0.3,0.8,0.0,CrooJa00,7.3
444,Andy Dalton,33,QB,11,9,100.00%,-3,-3.0,0,0,-3,0.1,-0.3,2.0,DaltAn00,-3.3
445,Josiah Deguara,23,te,2,1,50.00%,12,12.0,0,1,12,0.5,6.0,0.0,DeguJo00,2.2
446,Gehrig Dieter,27,wr,4,0,50.00%,10,10.0,0,1,10,0.3,2.5,0.0,DietGe00,2.0
447,Brandon Dillon,23,te,3,0,100.00%,6,6.0,0,0,6,0.3,2.0,0.0,DillBr00,1.6
448,Ben Ellefson,24,te,7,4,25.00%,10,10.0,0,1,10,0.1,1.4,0.0,ElleBe00,2.0
449,Eric Fisher*,29,LT,15,15,100.00%,2,2.0,1,1,2,0.1,0.1,0.0,FishEr00,7.2
450,Ryan Fitzpatrick,38,qb,9,7,100.00%,0,0.0,0,0,0,0.1,0.0,2.0,FitzRy00,-3.0
451,D'Onta Foreman,24,rb,6,0,100.00%,5,5.0,1,1,5,0.2,0.8,0.0,ForeDO00,7.5
452,D.J. Foster,27,wr,10,0,100.00%,7,7.0,0,1,7,0.1,0.7,0.0,FostD.01,1.7
453,Antonio Gandy-Golden,22,wr,6,2,14.30%,3,3.0,0,0,3,0.2,0.5,0.0,GandAn00,1.3
454,Cullen Gillaspia,25,rb,7,0,100.00%,6,6.0,0,0,6,0.1,0.9,0.0,GillCu00,1.6
455,Penny Hart,24,wr,13,0,100.00%,3,3.0,0,0,3,0.1,0.2,0.0,HartPe01,1.3
456,Temarrick Hemingway,27,te,8,0,50.00%,10,10.0,0,1,10,0.1,1.3,0.0,HemiTe00,2.0
457,Dontrell Hilliard,25,0,7,0,100.00%,2,2.0,0,0,2,0.1,0.3,0.0,HillDo00,1.2
458,Cody Hollister,27,wr,2,0,100.00%,12,12.0,0,1,12,0.5,6.0,0.0,HollCo00,2.2
459,Jordan Howard,26,0,7,4,100.00%,-3,-3.0,0,0,0,0.1,-0.4,1.0,HowaJo00,-1.3
460,Buddy Howell,24,rb,14,0,50.00%,3,3.0,0,0,3,0.1,0.2,0.0,HoweGr00,1.3
461,Jason Huntley,22,rb,5,0,50.00%,0,0.0,0,0,0,0.2,0.0,0.0,HuntJa01,1.0
462,Jalen Hurts,22,qb,15,4,100.00%,3,3.0,0,0,3,0.1,0.2,9.0,HurtJa00,-16.7
463,Trenton Irwin,25,wr,1,0,50.00%,5,5.0,0,0,5,1.0,5.0,0.0,IrwiTr00,1.5
464,Blake Jarwin,26,te,1,1,100.00%,12,12.0,0,1,12,1.0,12.0,0.0,JarwBl00,2.2
465,Marcus Kemp,25,0,11,0,100.00%,11,11.0,0,1,11,0.1,1.0,0.0,KempMa00,2.1
466,Adrian Killins,22,rb,1,0,100.00%,2,2.0,0,0,2,1.0,2.0,0.0,KillAd00,1.2
467,Keith Kirkwood,26,wr,1,0,50.00%,13,13.0,0,0,13,1.0,13.0,0.0,KirkKe00,2.3
468,Jake Kumerow,28,wr,6,0,100.00%,22,22.0,1,1,22,0.2,3.7,0.0,KumeJa00,9.2
469,Kendall Lamm,28,t,15,1,100.00%,1,1.0,1,1,1,0.1,0.1,0.0,LammKe00,7.1
470,Tommylee Lewis,28,wr,5,0,33.30%,5,5.0,0,0,5,0.2,1.0,0.0,LewiTo00,1.5
471,Bobby Massie,31,RT,8,8,100.00%,4,4.0,0,1,4,0.1,0.5,0.0,MassBo00,1.4
472,Baker Mayfield,25,QB,16,16,100.00%,6,6.0,0,1,6,0.1,0.4,8.0,MayfBa00,-14.4
473,Bruce Miller,33,FB,8,5,50.00%,2,2.0,0,1,2,0.1,0.3,0.0,MillBr02,1.2
474,Gardner Minshew II,24,QB,9,8,100.00%,0,0.0,0,0,0,0.1,0.0,5.0,MinsGa00,-9.0
475,Donte Moncrief,27,wr,6,0,50.00%,15,15.0,0,1,15,0.2,2.5,0.0,MoncDo00,2.5
476,Isaac Nauta,23,te,7,0,50.00%,3,3.0,0,0,3,0.1,0.4,0.0,NautIs00,1.3
477,Siran Neal,26,db,16,0,100.00%,13,13.0,0,1,13,0.1,0.8,0.0,NealSi00,2.3
478,Scottie Phillips,23,rb,8,0,100.00%,7,7.0,0,0,7,0.1,0.9,0.0,PhilSc01,1.7
479,Dak Prescott,27,qb,5,5,100.00%,11,11.0,1,1,11,0.2,2.2,3.0,PresDa01,2.1
480,James Proche,24,wr,14,0,33.30%,14,14.0,0,1,14,0.1,1.0,0.0,ProcJa00,2.4
481,Craig Reynolds,24,rb,2,0,100.00%,3,3.0,0,0,3,0.5,1.5,0.0,ReynCr00,1.3
