player,age,pos,g,gs,ctch,yds,yr,td,d,lng,rg,yg,fmb,player_additional,points
Kendrick Bourne,24,wr,16,0,68.20%,358,11.9,5,23,30,1.9,22.4,0,BourKe00,127.7
Anthony Miller,25,WR,16,7,61.20%,656,12.6,2,34,35,3.3,41,1,MillAn02,105.5
James White,27,rb,15,1,75.80%,645,9,5,31,59,4.8,43,1,WhitJa02,90.5
Nelson Agholor,26,WR,11,10,56.50%,363,9.3,3,17,43,3.5,33,2,AghoNe00,185.6
Christian Kirk,23,WR,13,13,63.00%,709,10.4,3,31,69,5.2,54.5,0,KirkCh01,144.1
George Kittle*+,26,TE,14,14,79.40%,1053,12.4,5,53,61,6.1,75.2,1,KittGe00,123.4
Mike Williams,25,WR,15,15,54.40%,1001,20.4,2,41,56,3.3,66.7,0,WillMi07,153.6
Giovani Bernard,28,rb,16,2,69.80%,234,7.8,0,7,35,1.9,14.6,2,BernGi00,98.5
Damiere Byrd,26,wr,11,3,69.60%,359,11.2,1,16,58,2.9,32.6,1,ByrdDa00,107.4
Aaron Jones,25,RB,16,16,72.10%,474,9.7,3,18,67,3.1,29.6,3,JoneAa00,90.5
Danny Amendola,34,WR,15,10,63.90%,678,10.9,1,36,47,4.1,45.2,0,AmenDa00,106.2
Dallas Goedert,24,TE,15,9,66.70%,607,10.5,5,33,28,3.9,40.5,2,GoedDa00,116.4
Austin Hooper*,25,TE,13,10,77.30%,787,10.5,6,41,35,5.8,60.5,0,HoopAu00,113.5
Antonio Brown,31,wr,1,0,50.00%,56,14,1,3,20,4,56,0,BrowAn04,117.3
Demarcus Robinson,25,wr,16,10,58.20%,449,14,4,19,44,2,28.1,0,RobiDe01,105.6
Dalvin Cook*,24,RB,14,14,84.10%,519,9.8,0,26,31,3.8,37.1,4,CookDa01,76.1
Tyler Higbee,26,TE,15,15,77.50%,734,10.6,3,36,33,4.6,48.9,0,HigbTy00,126.1
Zach Pascal,25,WR,16,13,56.90%,607,14.8,5,29,37,2.6,37.9,0,PascZa00,136.9
Gerald Everett,25,te,13,2,61.70%,408,11,2,22,33,2.8,31.4,0,EverGe00,86.7
Myles Gaskin,22,rb,7,0,58.30%,51,7.3,0,2,20,1,7.3,0,GaskMy00,87.8
Mecole Hardman*,21,wr,16,5,63.40%,538,20.7,6,18,83,1.6,33.6,2,HardMe00,117
Jonnu Smith,24,TE,16,14,79.50%,439,12.5,3,16,57,2.2,27.4,0,SmitJo01,133.8
Chris Conley,27,WR,16,14,52.20%,775,16.5,5,36,70,2.9,48.4,0,ConlCh00,97.1
Drew Sample,23,te,9,2,83.30%,30,6,0,1,21,0.6,3.3,0,SampDr00,78.9
Michael Thomas*+,26,WR,16,15,80.50%,1725,11.6,9,91,49,9.3,107.8,1,ThomMi05,83.8
Anthony Firkser,24,fb,15,1,58.30%,204,14.6,1,9,39,0.9,13.6,0,FirkAn00,83.7
Randall Cobb,29,wr,15,6,66.30%,828,15.1,3,41,59,3.7,55.2,2,CobbRa00,100.1
Travis Fulgham,24,wr,3,0,0.00%,0,0,0,0,0,0,0,0,FulgTr00,115.9
Kareem Hunt,24,rb,8,3,84.10%,285,7.7,1,17,29,4.6,35.6,1,HuntKa00,94.4
Devin Singletary,22,RB,12,8,70.70%,194,6.7,2,5,49,2.4,16.2,4,SingDe00,62.9
Jordan Akins,27,TE,16,9,65.50%,418,11.6,2,21,53,2.3,26.1,0,AkinJo00,83.3
Braxton Berrios,24,wr,16,0,46.20%,115,19.2,0,3,69,0.4,7.2,1,BerrBr00,94.4
Chris Carson,25,RB,15,15,78.70%,266,7.2,2,10,21,2.5,17.7,7,CarsCh00,87.7
Jared Cook*,32,te,14,7,66.20%,705,16.4,9,32,61,3.1,50.4,0,CookJa02,127.4
Rashard Higgins,25,wr,10,1,36.40%,55,13.8,1,3,35,0.4,5.5,0,HiggRa00,114.9
Sammy Watkins,26,WR,14,13,57.80%,673,12.9,3,30,68,3.7,48.1,2,WatkSa00,89.1
Tyler Eifert,29,te,16,4,68.30%,436,10.1,3,24,27,2.7,27.3,0,EifeTy00,82.9
Zach Ertz*,29,TE,15,15,65.20%,916,10.4,6,50,30,5.9,61.1,1,ErtzZa00,75.5
Leonard Fournette,24,RB,15,15,76.00%,522,6.9,0,23,27,5.1,34.8,1,FourLe00,59.3
Jakeem Grant,27,wr,10,2,57.60%,164,8.6,0,9,18,1.9,16.4,2,GranJa00,75.3
James Conner,24,RB,10,10,89.50%,251,7.4,3,14,26,3.4,25.1,1,ConnJa00,52.5
David Moore,24,wr,14,1,50.00%,301,17.7,2,14,60,1.2,21.5,2,MoorDa03,110.7
Golden Tate,31,WR,11,10,57.60%,676,13.8,6,30,64,4.5,61.5,1,TateGo00,85.8
Tre'Quan Smith,23,WR,11,6,72.00%,234,13,5,17,32,1.6,21.3,0,SmitTr03,100.8
John Brown,29,WR,15,15,62.60%,1060,14.7,6,53,53,4.8,70.7,0,BrowJo02,96.8
Keke Coutee,22,wr,9,4,61.10%,254,11.5,0,10,51,2.4,28.2,1,CoutKe00,83
N'Keal Harry,22,wr,7,5,50.00%,105,8.8,2,7,18,1.7,15,0,HarrNK00,73.9
Josh Jacobs,21,RB,13,13,74.10%,166,8.3,0,8,28,1.5,12.8,1,JacoJo01,52.8
