Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Player-additional,points
101,Zach Pascal,IND,25,WR,16,13,72,41,56.90%,607,14.8,5,29,37,8.4,2.6,37.9,0,PascZa00,131.7
102,Noah Fant,DEN,22,TE,16,11,66,40,60.60%,562,14.1,3,23,75,8.5,2.5,35.1,1,FantNo00,112.2
103,Kenny Stills,HOU,27,wr,13,5,55,40,72.70%,561,14,4,27,45,10.2,3.1,43.2,0,StilKe00,120.1
104,Auden Tate,CIN,22,WR,12,10,80,40,50.00%,575,14.4,1,29,33,7.2,3.3,47.9,1,TateAu00,101.5
105,Nelson Agholor,PHI,26,WR,11,10,69,39,56.50%,363,9.3,3,17,43,5.3,3.5,33,2,AghoNe00,89.3
106,Kyle Rudolph,MIN,30,TE,16,16,48,39,81.30%,367,9.4,6,24,32,7.6,2.4,22.9,0,RudoKy00,111.7
107,Jamaal Williams,GNB,24,rb,14,2,45,39,86.70%,253,6.5,5,16,17,5.6,2.8,18.1,0,WillJa06,94.3
108,Jimmy Graham,GNB,33,TE,16,10,60,38,63.30%,447,11.8,3,23,48,7.5,2.4,27.9,1,GrahJi00,98.7
109,Vance McDonald,PIT,29,TE,14,14,55,38,69.10%,273,7.2,3,12,22,5,2.7,19.5,1,McDoVa00,81.3
110,Chris Carson,SEA,25,RB,15,15,47,37,78.70%,266,7.2,2,10,21,5.7,2.5,17.7,7,CarsCh00,61.6
111,Gerald Everett,LAR,25,te,13,2,60,37,61.70%,408,11,2,22,33,6.8,2.8,31.4,0,EverGe00,89.8
112,Adam Humphries,TEN,26,wr,12,3,47,37,78.70%,374,10.1,2,20,30,8,3.1,31.2,1,HumpAd00,84.4
113,Kareem Hunt,CLE,24,rb,8,3,44,37,84.10%,285,7.7,1,17,29,6.5,4.6,35.6,1,HuntKa00,69.5
114,Jordan Akins,HOU,27,TE,16,9,55,36,65.50%,418,11.6,2,21,53,7.6,2.3,26.1,0,AkinJo00,89.8
115,Cameron Brate,TAM,28,TE,16,6,55,36,65.50%,311,8.6,4,21,37,5.7,2.3,19.4,0,BratCa00,91.1
116,Nick Chubb*,CLE,24,RB,16,16,49,36,73.50%,278,7.7,0,13,32,5.7,2.3,17.4,3,ChubNi00,57.8
117,David Johnson,ARI,28,rb,13,9,47,36,76.60%,370,10.3,4,17,31,7.9,2.8,28.5,1,JohnDa08,95
118,Breshad Perriman,TAM,26,wr,14,4,69,36,52.20%,645,17.9,6,29,44,9.3,2.6,46.1,0,PerrBr02,136.5
119,Jalen Richard,OAK,26,rb,16,0,43,36,83.70%,323,9,0,15,33,7.5,2.3,20.2,2,RichJa01,64.3
120,Irv Smith Jr.,MIN,21,te,16,7,47,36,76.60%,311,8.6,2,17,29,6.6,2.3,19.4,1,SmitIr01,77.1
121,Demaryius Thomas,NYJ,32,WR,11,10,58,36,62.10%,433,12,1,22,47,7.5,3.3,39.4,0,ThomDe03,85.3
122,DeAndre Washington,OAK,26,rb,16,3,41,36,87.80%,292,8.1,0,10,28,7.1,2.3,18.3,0,WashDe00,65.2
123,Allen Lazard,GNB,24,wr,16,3,52,35,67.30%,477,13.6,3,24,43,9.2,2.2,29.8,0,LazaAl00,100.7
124,Phillip Lindsay,DEN,25,RB,16,16,48,35,72.90%,196,5.6,0,9,36,4.1,2.2,12.3,0,LindPh00,54.6
125,Joe Mixon,CIN,23,RB,16,15,45,35,77.80%,287,8.2,3,14,33,6.4,2.2,17.9,0,MixoJo00,81.7
126,Dare Ogunbowale,TAM,25,rb,16,0,46,35,76.10%,286,8.2,0,14,21,6.2,2.2,17.9,2,OgunDa00,59.6
127,Jonnu Smith,TEN,24,TE,16,14,44,35,79.50%,439,12.5,3,16,57,10,2.2,27.4,0,SmitJo01,96.9
128,Geronimo Allison,GNB,25,wr,16,6,55,34,61.80%,287,8.4,2,16,31,5.2,2.1,17.9,2,AlliGe01,70.7
129,James Conner,PIT,24,RB,10,10,38,34,89.50%,251,7.4,3,14,26,6.6,3.4,25.1,1,ConnJa00,75.1
130,Darren Fells,HOU,33,TE,16,14,48,34,70.80%,341,10,7,22,24,7.1,2.1,21.3,0,FellDa01,110.1
131,Ryan Griffin,NYJ,29,TE,13,13,41,34,82.90%,320,9.4,5,19,45,7.8,2.6,24.6,0,GrifRy00,96
